Course_Title,Skills_Taught
Data Science: Statistics and Machine Learning,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)']"
Data Structures and Algorithms,"['Debugging', 'Software Testing', 'Algorithms', 'Data Structure', 'Computer Programming']"
Data Visualization & Dashboarding with R,"['Data Science', 'Data Analysis', 'Data Visualization (DataViz)', 'Reproducible Research']"
Data Visualization and Dashboards with Excel and Cognos,"['Microsoft Excel', 'Data Analysis', 'Data Visualization (DataViz)', 'IBM Cognos Analytics', 'Dashboard']"
Data Visualization with Python,"['Dashboards and Charts', 'dash', 'Python Programming', 'Matplotlib', 'Data Visualization (DataViz)']"
Data Visualization with Tableau,"['Storyboarding', 'Map', 'Tableau Software', 'Data Visualization (DataViz)']"
Data Warehousing for Business Intelligence,"['Pentaho', 'Data Visualization (DataViz)', 'Data Warehouse', 'SQL']"
Data-driven Decision Making,"['Data-Informed Decision-Making', 'Big Data', 'Data Analysis', 'Data Visualization (DataViz)']"
Databases and SQL for Data Science with Python,"['Cloud Databases', 'Python Programming', 'Jupyter notebooks', 'Relational Database Management System (RDBMS)', 'SQL']"
Decentralized Finance (DeFi): The Future of Finance,"['Tokenization', 'Cryptocurrency', 'Entrepreneurial Finance', 'Blockchain', 'Smart Contract', 'nft', 'Entrepreneurship', 'Financial Markets', 'Finance']"
"Decisions, Decisions: Dashboards and Reports","['Presenting Data Insights', 'Tableau Software', 'Data Visualization (DataViz)', 'Effective Communication', 'Dashboarding and Reporting']"
Deep Learning,"['Artificial Neural Network', 'Convolutional Neural Network', 'Tensorflow', 'Recurrent Neural Network', 'Transformers']"
Deep Neural Networks with PyTorch,[]
DeepLearning.AI TensorFlow Developer,"['Computer Vision', 'Convolutional Neural Network', 'Machine Learning', 'Natural Language Processing']"
Deploying Machine Learning Models in Production,"['TensorFlow Serving', 'Model Monitoring', 'Model Registries', 'Machine Learning Operations (MLOps)', 'Generate Data Protection Regulation (GDPR)']"
Desarrollador front-end de Meta,"['Web Development Tools', 'HTML', 'Cascading Style Sheets (CSS)', 'UI/UX design', 'React', 'Object-Oriented Programming (OOP)', 'JavaScript', 'Test-Driven Development', 'Responsive Web Design']"
Design Thinking,"['Creativity', 'Strategic Thinking', 'Design Thinking', 'Innovation Management', 'Innovation']"
Design a User Experience for Social Good & Prepare for Jobs,"['User Experience (UX)', 'Usability Testing', 'Prototype', 'User Experience Design (UXD)', 'UX design jobs']"
Design and Interpretation of Clinical Trials,"['Clinical Research', 'Trial Design', 'Clinical Trial Design', 'Clinical Trial Management']"
DevOps on AWS,"['Continuous Integration', 'Devops', 'Monitoring and Logging', 'Continuous Delivery', 'Microservices']"
"DevOps, Cloud, and Agile Foundations","['Cloud Native', 'Devops', 'Scrum', 'Cloud Computing', 'agile']"
Developing AI Applications with Python and Flask,"['Artificial Intelligence (AI)', 'Web Application', 'Python Programming', 'Application development', 'Flask']"
Developing APIs with Google Cloud's Apigee API Platform,"['Oauth', 'API security', 'REST API design', 'OpenAPI specifications', 'Apigee API Platform']"
Developing Applications with Google Cloud,"['Debugging', 'Google Cloud Platform', 'Cloud Storage', 'Application development', 'Cloud Computing']"
Developing Front-End Apps with React,"['Web Development', 'User Interface', 'React (Web Framework)', 'Front-end Development', 'JavaScript']"
Devenir entrepreneur du changement,"['Social Entrepreneurship', 'Business Model', 'Communication', 'Entrepreneurship', 'Social Business Model']"
Digital Fashion Innovation,"['Digital Transformation in Fashion', 'Digital Fashion Design', 'Digitalization in Fashion', 'Fashion Merchandising', 'Fashion E-Commerce']"
Digital Health,[]
Digital Manufacturing & Design Technology,"['Artificial Intelligence (AI)', 'Digital Design', 'Manufacturing Engineer', 'Industry 4.0']"
Digital Marketing,"['Digital Marketing', 'Social Media', 'Content Marketing', 'search marketing', 'Brand Communication', 'Marketing Channel', 'Mobile Marketing', 'Integrated Marketing Communications', 'Data Collection', 'Analytics', 'Data Analysis', 'Data Visualization (DataViz)', 'Marketing', 'Pricing Strategies', 'Marketing Mix', 'Product Strategies', 'Marketing Analytics', 'Marketing Plan', 'Search Advertising', 'Marketing Performance Measurement And Management', 'Marketing Performance']"
Digital Marketing Strategy and Planning,"['Search Engine Marketing (SEM) Strategy', 'Display and Video Advertising Strategy', 'Social Media and Email Marketing Strategy', 'E-Commerce Strategy', 'Digital Channel Planning', 'Strategic Thinking', 'Strategy Execution', 'Digital Leadership', 'Communicating Results', 'Customer Experience (CX) Design', 'Digital transformation', 'Digital Marketing', 'Content Marketing', 'Digital Strategy', 'Digital Research']"
Digital Product Management,"['hypothesis-driven development', 'Product Management', 'Design Thinking', 'agile', 'Lean Startup']"
Digital Product Management: Modern Fundamentals,"['Product/Market Fit', 'Product Management', 'Design Thinking', 'Innovation Pipeline', 'Lean Startup']"
Digital Signal Processing,"['Convulsion', 'Data Transmission', 'Audio processing', 'Ipython', 'Fourier Analysis']"
Digital Technologies and the Future of Manufacturing,"['Manufacturing Process Management', 'Bussiness', 'Industrial Internet of Things (IIoT)', 'technology']"
Digital Transformation Using AI/ML with Google Cloud,"['Organizational Culture', 'Business Transformation', 'Business Value', 'Business Strategy', 'Business Case Analysis']"
Digitalisation in Aeronautics and Space,[]
Dino 101: Dinosaur Paleobiology,"['Biodiversity', 'Biology', 'Evolution', 'Paleontology']"
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,"['Análisis', 'Pensamiento crítico', 'Comunicación efectiva']"
Diseño de Experiencia del Usuario (UX) de Google,"['Experiencia del usuario (UX)', 'Diseño de la experiencia del usuario (UXD)', 'Investigación en UX', 'Pruebas de usabilidad', 'Prototipo', 'Adobe XD', 'Esquema', 'Maqueta', 'Figma', 'Trabajos de diseño de UX', 'Esquema de página']"
Diversity and inclusion in the workplace,[]
Diversité et inclusion sur le lieu de travail,[]
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms","['Algorithms', 'Randomized Algorithm', 'Sorting Algorithm', 'Divide And Conquer Algorithms']"
Django for Everybody,"['Cascading Style Sheets (CSS)', 'HTML', 'JavaScript', 'SQL', 'Django (Web Framework)']"
Dog Emotion and Cognition,"['Cognitive Science', 'Evolution', 'Animal Behavior', 'Dog']"
Driving business towards the Sustainable Development Goals,[]
Drug Development Product Management,"['Marketing', 'Drug Regulations', 'Drug Discovery', 'Clinical Trials']"
Drug Discovery,"['Pharmacology', 'Drug Development', 'Clinical Development', 'Pharmacokinetics']"
Dynamic Public Speaking,"['Communication', 'Presentation', 'Speech', 'Public Speaking']"
ESG Risks and Opportunities,[]
Economics of Money and Banking,[]
"Effective Communication: Writing, Design, and Presentation","['Business Writing', 'Presentation', 'Graphic Design', 'Writing']"
Electric Industry Operations and Markets,[]
Electronic Music Production,"['Audio Recording', 'Music Making', 'File Management', 'Ableton', 'MIDI programming', 'Create an electronic composition', 'Create custom synthesizer patches', 'Manipulate preset patches', 'Sound Design', 'Create custom patches in Strobe 2', 'Audio Production', 'Music', 'Audio Editing', 'Electronic Digital Instrument', 'Live Looping', 'Performance Technique', 'Music Arrangement']"
Embedding Sensors and Motors,"['sensor integration', 'firmware', 'motor design', 'embedded engineering', 'hardware']"
Emotional Intelligence: Cultivating Immensely Human Interactions,"['Emotional Intelligence', 'Social Skills', 'Intrapersonal skills', 'Soft skills', 'Leadership']"
"Energy Production, Distribution & Safety",[]
Engineering Project Management,"['Planning', 'Schedule', 'Earned Value Management (EVMT)', 'Project Management', 'Procurement']"
English for Business and Entrepreneurship,"['Business Plan', 'Market Research', 'English Language', 'Entrepreneurship']"
English for Career Development,"['Communication', 'English Language', 'Career Development', 'Writing']"
English for Journalism,"['English Grammar', 'News Reporting', 'English Language', 'Broadcast']"
Entrepreneurial Finance: Strategy and Innovation,"['Blockchains', 'Valuation', 'Financial Analysis', 'Entrepreneurial Finance', 'Microsoft Excel', 'Risk Management', 'Entrepreneurship', 'Venture Capital', 'Finance']"
Entrepreneurship,"['Growth Strategies', 'Exit Strategy', 'Finance', 'Entrepreneurship']"
Entrepreneurship 1: Developing the Opportunity,"['Discovery-Driven Planning', 'Elevator Pitch', 'Planning', 'Entrepreneurship']"
Entrepreneurship Strategy: From Ideation to Exit,[]
Entrepreneurship: Growing Your Business,"['Entrepreneurship', 'Leadership & Management', 'Innovation', 'Finance', 'HR Tech']"
Epidemiology in Public Health Practice,"['Outbreak investigation', 'Public Health Surveillance', 'visualization', 'Statistics', 'Epidemiology']"
Equine Welfare and Management,[]
Essentials in Clinical Simulations Across the Health Professions,"['Nursing', 'healthcare', 'Debriefing', 'INACSL Standards', 'Clinical Simulation']"
Essentials of Global Health,[]
Ethical Leadership,"['Ethics of Communication', 'Ethics of Technology', 'Ethical Leadership', 'Diverse Leadership', 'Why Business?']"
"Ethics, Technology and Engineering",[]
European Business Law,"['Compete on the Internal Market', 'Legal Research', 'Law', 'Business Law', 'Foreign Policy']"
Evaluations of AI Applications in Healthcare,[]
Everyday Excel,"['Spreadsheet', 'Microsoft Excel', 'Problem Solving', 'Project', 'computing']"
"Everyday Excel, Part 1","['Data Management', 'Spreadsheet', 'Microsoft Excel', 'Problem Solving', 'Real World']"
Everyday Parenting: The ABCs of Child Rearing,[]
Exam Prep MLS-C01: AWS Certified Specialty Machine Learning,"['Modeling in AWS', 'Information Engineering', 'Machine Learning Implementation and Operations in AWS', 'Exploratory Data Analysis in AWS', 'ML Algorithms']"
Excel Basics for Data Analysis,"['Data Science', 'Spreadsheet', 'Microsoft Excel', 'Data Analysis', 'Pivot Table']"
Excel Fundamentals for Data Analysis,"['Data Analysis', 'Microsoft Excel', 'Data Cleansing']"
Excel Skills for Business,"['Data Validation', 'Microsoft Excel', 'Microsoft Excel Macro', 'Pivot Table']"
Excel Skills for Business: Essentials,"['Graphs', 'Spreadsheet', 'Microsoft Excel', 'Chart']"
Excel Skills for Business: Intermediate I,"['Concatenation', 'Microsoft Excel', 'Consolization', 'Pivot Table', 'Pivot Chart']"
Excel Skills for Data Analytics and Visualization,"['Data Analysis', 'Microsoft Excel', 'Data Visualization (DataViz)']"
Excel for Beginners: Introduction to Spreadsheets,[]
Excel for Beginners: Pivot Tables,[]
Excel to MySQL: Analytic Techniques for Business,"['Business Analytics', 'Microsoft Excel', 'Business Analysis', 'Business Communication', 'Data Analysis', 'Big Data', 'Tableau Software', 'Data Visualization (DataViz)', 'Binary Classification', 'MySQL', 'SQL']"
Excel/VBA for Creative Problem Solving,"['Microsoft Excel Vba', 'Computer Programming', 'Problem Solving', 'Arrays']"
Executive Data Science,"['Data Science', 'Data Management', 'Data Analysis', 'Communication', 'Leadership']"
Exploratory Data Analysis for Machine Learning,"['Artificial Intelligence (AI)', 'Machine Learning', 'Feature Engineering', 'Statistical Hypothesis Testing', 'Exploratory Data Analysis']"
Expressway to Data Science: Essential Math,"['Derrivatives', 'Integrals', 'Matrix Algebra', 'Diagonalization', 'Numerical Analysis']"
Expressway to Data Science: Python Programming,"['Python Libraries', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy']"
Extended Reality for Everybody,"['Virtual reality (VR)', 'Design', 'development', 'Extended Reality (XR)', 'Augmented reality (AR)']"
"Extract, Transform and Load Data in Power BI","['Data Analysis', 'power bi', 'Power Query', 'Data Configuration', 'Data transformation']"
FPGA Design for Embedded Systems,"['Softcore Processor Design', 'Writing Code in Verilog', 'Programmable Logic Design', 'VHDL Coding', 'Simulation for Verification']"
"Federal Taxation I: Individuals, Employees, and Sole Proprietors",[]
"FinTech: Foundations, Payments, and Regulations",[]
Finance & Quantitative Modeling for Analysts,"['Financial Modeling', 'Corporate Finance', 'Microsoft Excel']"
Finance for Non-Finance Professionals,"['Financial Accounting', 'Capital Budgeting', 'Corporate Finance', 'Finance']"
Finance for Non-Financial Managers,"['Project', 'Financial Statement', 'Finance', 'Balance Sheet']"
Finance for Technical Managers,"['Product Cost Analysis', 'Project valuation', 'financial statement analysis', 'Discounted Cash Flow Analysis', 'Financial Adviser']"
Financial Accounting Fundamentals,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']"
Financial Acumen for Non-Financial Managers,[]
Financial Analysis - Skills for Success,"['Accounting', 'Scenario Analysis', 'financial statement analysis', 'Strategic Management', 'Finance']"
Financial Engineering and Risk Management,"['Quantitative Analysis', 'Asset Allocation', 'Algorithmic Trading', 'Portfolio Optimization', 'Mathematical Finance']"
Financial Management,"['Financial Mismanagement', 'Financial Management', 'Risk Management', 'Investment', 'Financial Aid Management']"
Financial Markets,"['Behavioral Finance', 'Financial Markets', 'Finance', 'Behavioral Economics']"
Financial Planning for Young Adults,"['Risk Management', 'Budget', 'Saving', 'Investment']"
Financial Reporting,"['Accounting', 'Accounting Analysis', 'Financial Statement']"
Financial Technology (Fintech) Innovations,"['Credit Technology', 'Cryptocurrency', 'Smart Investing', 'Blockchain', 'Payment Systems']"
Financing and Investing in Infrastructure,"['Capital Budgeting', 'Risk Analysis', 'Project', 'Finance']"
Finanzas corporativas,"['Mathematical Finance', 'Corporate Finance', 'Microsoft Excel', 'Finance']"
Finding Purpose and Meaning In Life: Living for What Matters Most,"['well-being', 'Purpose']"
Finding Your Professional Voice: Confidence & Impact,"['Speak with greater clarity', 'Speak with confidence and connection', 'How to convey meaning and make messages compelling', 'Identify current vocal behaviors connected to speaking and have techniques to address them.']"
Fintech: Foundations & Applications of Financial Technology,"['Investment Management', 'Cryptocurrency', 'regulation', 'Blockchain']"
First Principles of Computer Vision,"['perception', 'features and boundaries', 'Object Recognition', 'Camera and imaging', '3d reconstruction']"
First Step Korean,"['Grammar', 'Korean Language', 'Speech', 'Writing']"
Fondamentaux de la cybersécurité,"['Cadre de cybersécurité (CSF) du NIST', 'Cybersécurité', 'Attaques historiques', ""Sécurité de l'information (InfoSec - Information Security)"", 'Déontologie']"
Food & Beverage Management,"['Promotion And Marketing Communications', 'Food Marketing', 'Marketing', 'Brand Management']"
"Food Sustainability, Mindful Eating, and Healthy Cooking","['mindful eating', 'sensible shopping', 'sustainable eating', 'food mindfulness', 'Cooking']"
Forensic Accounting and Fraud Examination,"['Fraud Detection', 'Internal Control', 'Fraud Investigation', 'Forensic Accounting']"
Formal Financial Accounting,[]
Foundational Finance for Strategic Decision Making,"['Financial Analysis', 'Estimation of costs and benefits', 'Spreadsheet Analysis', 'Value estimation']"
Foundations for Assisting in Home Care,[]
Foundations of Business Intelligence,"['Stakeholder Management', 'Sharing Insights With Stakeholders', 'Asking Effective Questions', 'Cross-Functional Team Dynamics', 'Business Processes and Requirements']"
Foundations of Business Strategy,"['Capabilities Analysis', 'Business Strategy', 'Competitive Position', 'Strategic Analysis', 'Industry Structure']"
Foundations of Cybersecurity,"['Information Security (INFOSEC)', 'Cybersecurity', 'Historical Attacks', 'Ethics in cybersecurity', 'NIST Cybersecurity Framework (CSF)']"
Foundations of Data Science,"['Sharing Insights With Stakeholders', 'Effective Written Communication', 'Asking Effective Questions', 'Cross-Functional Team Dynamics', 'Project Management']"
Foundations of Data Structures and Algorithms,"['Travelling Salesman Problem (TSP)', 'Integer Programming', 'Approximation Algorithm', 'Linear Programming (LP)', 'Analysis of Algorithms', 'Hashtables', 'Algorithm Design', 'Python Programming', 'Data Structure Design', 'Graphs Algorithms', 'Intractability']"
Foundations of Digital Marketing and E-commerce,"['Marketing', 'Customer loyalty', 'E-Commerce', 'Marketing Analytics', 'Customer Outreach']"
Foundations of Management,"['Accounting', 'Leadership', 'Finance', 'Marketing']"
Foundations of Positive Psychology,"['Gratitude', 'goal setting', 'Research Methodology', 'Resilience']"
Foundations of Project Management,"['Organizational Culture', 'Career Development', 'Strategic Thinking', 'Change Management', 'Project Management']"
Foundations of Public Health Practice,[]
Foundations of Software Testing and Validation,"['Software Testing', 'Software Development', 'Validation']"
Foundations of Teaching for Learning: Introduction,"['Teaching', 'Planning', 'Teaching Method']"
Foundations of User Experience (UX) Design,"['User Experience (UX)', 'UX Research', 'Wireframe', 'Prototype', 'User Experience Design (UXD)']"
"Foundations: Data, Data, Everywhere","['Spreadsheet', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'SQL']"
Fractal Data Science,"['Data storytelling', 'Machine Learning', 'Python Programming', 'Decision-Making', 'Problem Solving', 'power bi', 'SQL']"
From Data to Insights with Google Cloud,"['Bigquery', 'Machine Learning', 'Data Visualization (DataViz)', 'SQL']"
From Excel to Power BI,"['Business Analytics', 'Microsoft Excel', 'Data Analysis', 'Data Visualization (DataViz)', 'power bi']"
From Likes to Leads: Interact with Customers Online,"['Social Listening', 'Social Media Bidding', 'Customer Engagement', 'Social Media Analytics', 'Social Media Branding']"
Functional Programming in Scala,"['Scala Programming', 'Parallel Computing', 'Apache Spark', 'Functional Programming']"
Fundamentals of Accounting,"['Income Statement', 'Cost', 'Financial Statement', 'Balance Sheet']"
Fundamentals of Computing,"['Recursion', 'Algorithms', 'Python Programming', 'Dynamic Programming']"
Fundamentals of Engineering Exam Review,[]
Fundamentals of Finance,[]
Fundamentals of Flight mechanics,"['Airplane conception and validation', 'Flight dynamics', 'Applied aerodynamics', 'Aerospace Engineering', 'Flight mechanics']"
Fundamentals of GIS,"['Spatial Analysis', 'Data Analysis', 'Data Visualization (DataViz)', 'Software']"
Fundamentals of Graphic Design,"['Creativity', 'Graphics', 'Design Theory', 'Color Theory']"
Fundamentals of Immunology,[]
Fundamentals of Machine Learning for Healthcare,[]
Fundamentals of Music Theory,"['Scales', 'Notation', 'Harmony', 'Rhythm', 'Chords']"
Fundamentals of Project Planning and Management,"['Risk Analysis', 'Project Planning', 'Planning', 'Management', 'Project Management']"
Fundamentals of Quantitative Modeling,"['Modeling', 'Linear Regression', 'Probabilistic Models', 'Regression Analysis']"
Fundamentals of Reinforcement Learning,"['Artificial Intelligence (AI)', 'Machine Learning', 'Reinforcement Learning', 'Function Approximation', 'Intelligent Systems']"
Fundamentals of Social Media Advertising,"['Social Media Marketing', 'Brand Management', 'Campaign Management', 'Ad Management']"
Fundamentals of Technology Sales,"['Sales Development', 'Sales Management', 'Sales Strategy', 'Sales', 'Sales Presentation']"
Fundamentos de la ciberseguridad,"['Ética', 'Seguridad de la información (INFOSEC)', 'Marco de ciberseguridad del NIST (CSF)', 'Ataques históricos a la ciberseguridad', 'Ciberseguridad']"
Fundamentos de la gestión de proyectos,"['Gestión de proyectos', 'Cultura de la organización', 'Pensamiento estratégico', 'desarrollo profesional', 'gestión de cambios']"
Fundamentos del marketing digital y comercio electrónico,"['Marketing', 'Fidelidad del cliente', 'Análisis y estadísticas de marketing', 'Acercamiento al cliente', 'Comercio electrónico']"
Fundraising and Development,['Fundraising']
Futures Thinking,"['Strategic Foresight', 'Simulation', 'Scenario Design', 'Future Forecasting']"
"GIS, Mapping, and Spatial Analysis","['Geographic Information System (GIS)', 'Cartography', 'Esri', 'Mapping', 'Spatial Analysis']"
GPU Programming,"['Machine Learning', 'GPU', 'Parallel Computing', 'Image Processing', 'C++']"
Game Design and Development with Unity 2020,"['Video Game Development', 'Unity', 'video game', 'Game Design', 'technology']"
Game Design: Art and Concepts,"['Interactive Storytelling', 'Game Design Document', 'Video Game Design', 'Game Design']"
Game Theory,"['Game Theory', 'Backward Induction', 'Bayesian Game', 'Problem Solving']"
Gamification,"['Psychology', 'Marketing', 'Game Design', 'Gamification']"
Generative AI Primer,"['prompt engineering', 'Augmented Intelligence', 'Generative AI']"
Generative AI for Everyone,"['Generative AI', 'AI strategy', 'large language models', 'Generative AI Tools', 'AI Productivity']"
Generative AI with Large Language Models,"['Generative AI', 'LLMs', 'large language models', 'Machine Learning', 'Python Programming']"
Generative Adversarial Networks (GANs),"['Generator', 'Image-to-Image Translation', 'glossary of computer graphics', 'Discriminator', 'Generative Adversarial Networks']"
Genomic Data Science,"['Bioinformatics Algorithms', 'Algorithms', 'Python Programming', 'Algorithms On Strings', 'Bioinformatics', 'Biopython', 'Genomics', 'Statistics', 'Data Science', 'Computational Biology', 'Samtools', 'Unix', 'Command-Line Interface', 'Data Analysis', 'R Programming', 'Biostatistics', 'Bioconductor']"
Geographic Information Systems  (GIS),[]
Gestion de projet de Google,"['Gestion des risques', 'Gestion de projet', 'Exécution du projet', 'Réflexion stratégique', 'Gestion de la qualité', 'Gestion Agile', 'Influencer Marketing', 'Encadrement', 'Résolution de problèmes', 'Scrum', 'Planification de projet', 'Approvisionnement', 'Estimation de la tâche', 'Gestion des partenaires', 'Communication efficace', 'Gestion du changement', 'Gestion de projets', 'Culture organisationnelle', 'Perfectionnement professionnel', 'Charte de projet', 'Écriture commerciale']"
Gestión de Proyectos de Google,"['Gestión de proyectos', 'Estatuto del proyecto', 'Pensamiento estratégico', 'Redacción de negocios', 'Gestión de los interesados', 'Gestión de calidad', 'Gestión de riesgos', 'Ejecución del proyecto', 'Adquisiciones', 'Planificación de Proyectos', 'Estimación de tareas', 'Cultura de la organización', 'desarrollo profesional', 'gestión de cambios', 'Resolución de problemas', 'Comunicación efectiva', 'Influencia', 'Asesoramiento', 'Gestión con la metodología Agile', 'Scrum']"
Get Started with Python,"['Using Comments to Enhance Code Readability', 'Python Programming', 'Jupyter Notebook', 'Data Visualization (DataViz)', 'Coding']"
Getting Started with AI using IBM Watson,"['Deep Learning', 'Application Programming Interfaces (API)', 'Artificial Intelligence (AI)', 'Machine Learning', 'watson']"
Getting Started with Git and GitHub,"['open source', 'Cloning and forking', 'Github', 'Git (Software)', 'Distributed Version Control Systems (DVCS)']"
Getting Started with Power BI Desktop,[]
Getting Started with SAS Programming,"['SAS Studio', 'Import Data', 'Reports', 'Prepare Data', 'SAS Programs']"
Getting started with Google Workspace,[]
Giving Helpful Feedback,"['Communication', 'Staff Management', 'Coaching', 'Performance Management']"
Global Diplomacy – Diplomacy in the Modern World,"['Policy Analysis', 'Art', 'History', 'International Relations']"
Global Diplomacy: the United Nations in the World,[]
Global Procurement and Sourcing,"['Negotiation', 'Contracts']"
Go Beyond the Numbers: Translate Data into Insights,"['Python Programming', 'Tableau Software', 'Data Visualization (DataViz)', 'Effective Communication', 'Exploratory Data Analysis']"
Good with Words: Writing and Editing,"['Persuasion', 'Creativity', 'Writing', 'Time management', 'Editing']"
Goodwill® Career Coach and Navigator,"['Crisis Intervention', 'establishing trust', 'establish coaching agreements', 'Human-centered coaching', 'Case Management', 'outreach', 'intake', 'Gap Analysis', 'Recruitment', 'Occupational guidance', 'onboarding preparation', 'resume preparation', 'Networking', 'Professional Development', 'Research technology trends', 'establish business partnerships', 'virtual coaching']"
Google Advanced Data Analytics,"['Data Science', 'Regression Models', 'Predictive Modelling', 'Exploratory Data Analysis (EDA)', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Jupyter Notebook', 'Tableau Software', 'Data Visualization (DataViz)', 'Kaggle']"
Google Business Intelligence,"['Data Modeling', 'Business Analysis', 'Bigquery', 'Sheets', 'Data Analysis', 'Extraction, Transformation And Loading (ETL)', 'Business Process', 'Tableau Software', 'Data Visualization (DataViz)', 'Business Intelligence', 'SQL', 'Dashboarding and Reporting']"
Google Cloud Big Data and Machine Learning Fundamentals,"['Tensorflow', 'Bigquery', 'Google Cloud Platform', 'Cloud Computing']"
Google Cloud Database Engineer,[]
Google Cloud Digital Leader Training,[]
Google Cloud Fundamentals: Core Infrastructure,"['Google Compute Engine', 'Google App Engine (GAE)', 'Google Cloud Platform', 'Cloud Computing']"
Google Cybersecurity,"['Linux', 'Python Programming', 'Security Information and Event Management (SIEM) tools', 'Intrusion Detection Systems (IDS)', 'SQL']"
Google Data Analytics,"['Job portfolio', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'case study', 'Spreadsheet', 'Metadata', 'Data Collection', 'Data Ethics', 'SQL', 'Data Calculations', 'Data Aggregation', 'R Programming', 'R Markdown', 'Rstudio', 'Tableau Software', 'Presentation', 'Sample Size Determination', 'Data Integrity', 'Questioning', 'Decision-Making', 'Problem Solving']"
Google Data Analytics,"['Tableurs', 'Visualisation des données (DataViz)', 'SQL', 'Nettoyage des données', 'Analyse de donnees', 'Prise de décision', 'Résolution de problèmes', 'Questionnement', 'Presentation', 'Logiciel Tableau', 'Détermination de la taille d’échantillon', 'Feuille de calcul', 'Intégrité des données', ""Portfolio pour la recherche d'emploi"", 'Étude de cas', 'programmation R', 'R Markdown', 'Rstudio', 'Analyse des données', 'Agrégation des données', 'Calculs de données', 'Collecte de données', 'Éthique des données', 'Métadonnées']"
Google Data Analytics (DE),"['Datenerhebung', 'Metadaten', 'Tabellenkalkulation', 'Datenethik', 'SQL', 'Datenbereinigung', 'Kalkulationstabelle', 'Datenvisualisierung (DataViz)', 'Datenanalyse', '-\tR-Programmierung', '-\tDatenvisualisierung (DataViz)', '-\tDatenanalyse', '-\tRstudio', '-\tR Markdown', '-\tPräsentation', '-\tTableau-Software', '-\tFallstudie', '-\tJob-Portfolio', '-\tDatenbereinigung', 'Entscheidungsfindung', 'Problemlösung', 'Fragestellung', 'Datenberechnungen', '-\tTabellenkalkulation', 'Datenaggregation', 'Datenintegrität', 'Bestimmung der Stichprobengröße']"
Google Data Analytics (PT),"['Visualização de dados (DataViz)', 'Limpeza de dados', 'Planilha', 'SQL', 'Análise dos dados', 'análise de dados', 'Questionamento', 'Solução de problemas', 'Tomada de decisões', 'Cálculos de dados', 'Agregação de dados', 'Estudo de caso', 'Portfólio profissional', 'programação em R', 'R Markdown', 'Rstudio', 'Apresentação', 'Software Tableau', 'Integridade dos dados', 'Determinação do tamanho da amostra', 'Metadados', 'Ética em Dados', 'Coleta de Dados']"
Google Data Analytics Capstone: Complete a Case Study,"['Job portfolio', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'case study']"
Google Digital Marketing & E-commerce,"['Marketing', 'E-Commerce', 'display advertising', 'Email Marketing', 'Search Engine Optimization (SEO)']"
Google IT Automation with Python,"['Using Version Control', 'Troubleshooting & Debugging', 'Python Programming', 'Configuration Management', 'Automation']"
Google IT Support,"['Service client', 'Débogage', 'Cloud computing.', 'Algorithmes et techniques de chiffrement', 'Protocoles réseau']"
Google IT Support,"['Debugging', 'Encryption Algorithms and Techniques', 'Customer Service', 'Network Protocols', 'Cloud Computing']"
Google IT Support (Deutsch),"['Debugging', 'Customer Service', 'Network Protocols', 'Encryption Algorithms', 'Cloud Computing']"
Google Marketing Digital e E-Commerce,"['Optimización de motores de búsqueda (SEO)', 'Marketing', 'Publicidad gráfica', 'Marketing por correo electrónico', 'Comercio electrónico']"
Google Professional Workspace Administrator,[]
Google Project Management,"['Gestion des partenaires', 'Gestion de projet', 'Résolution de problèmes', 'Gestion de la qualité', 'Communication efficace', 'Gestion des risques', 'Exécution du projet', 'Réflexion stratégique', 'Coaching', 'Gestion Agile', 'Influencer Marketing', 'Scrum', 'Planification de projet', 'Approvisionnement', 'Estimation de la tâche', 'Gestion du changement', 'Gestion de projets', 'Culture organisationnelle', 'Perfectionnement professionnel', 'Charte de projet', 'Gestion des parties prenantes', 'Écriture commerciale']"
Google Project Management (DE),"['Projektmanagement', 'Strategisches Denken', 'Projektabwicklung', 'Qualitätsmanagement', 'Risikomanagement', 'Veränderungsmanagement', 'Karriereentwicklung', 'Organisationskultur', '•\tProblemlösung', '•\tScrum', '•\tAgiles Management', '•\tEinflussnahme', '•\tCoaching', 'Aufgabenschätzung', 'Projektplanung', 'Beschaffung', 'Stakeholder-Management', 'Business Writing', 'Projektcharta', 'Problemlösung', 'Effektive Kommunikation']"
